,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,2.0,31.0,1.0,10.0,1.0,1.0,1.0,
top,,,,,,,2721964032.0,1052446720.0,,1105272832.0,2117246976.0,156667904.0,2311352320.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,19.0,2.0,32.0,5.0,32.0,32.0,32.0,
mean,10.844017580151558,0.6843750000000001,3.830780029296875,3.8557586669921875,3.6673583984375,771.875,,,31.515625,,,,,,,,0.0
std,1.4734234719883377,1.274086484885442,0.08581605423622277,0.01841900605537201,0.02473174112803434,330.4292174459388,,,0.19362313744704884,,,,,,,,0.0
min,2.7735393047332764,0.0,3.65673828125,3.8212890625,3.63134765625,600.0,,,30.7,,,,,,,,0.0
25%,11.073565602302551,0.0,3.781982421875,3.8421630859375,3.64501953125,600.0,,,31.5,,,,,,,,0.0
50%,11.093668818473816,0.0,3.834228515625,3.856201171875,3.66455078125,600.0,,,31.5,,,,,,,,0.0
75%,11.11869615316391,0.6,3.8885498046875,3.868896484375,3.6895751953125,800.0,,,31.6,,,,,,,,0.0
max,11.280300617218018,4.9,3.97021484375,3.89111328125,3.708984375,1800.0,,,32.0,,,,,,,,0.0
