,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,2.0,31.0,1.0,10.0,1.0,1.0,1.0,
top,,,,,,,2724605952.0,1049808896.0,,1105268736.0,2116268032.0,156667904.0,2310991872.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,17.0,2.0,32.0,4.0,32.0,32.0,32.0,
mean,10.894422456622124,0.453125,3.878143310546875,3.837066650390625,3.4103546142578125,721.875,,,31.46875,,,,,,,,0.0
std,1.4860766767326636,0.958488182907955,0.12703257836076165,0.034491805919462076,0.05835448399304769,272.07017002853297,,,0.16546610607029033,,,,,,,,0.0
min,2.7680795192718506,0.0,3.54150390625,3.75146484375,3.29248046875,600.0,,,31.1,,,,,,,,0.0
25%,11.107745468616486,0.0,3.80517578125,3.8216552734375,3.370849609375,600.0,,,31.4,,,,,,,,0.0
50%,11.13448441028595,0.0,3.90625,3.847900390625,3.41943359375,600.0,,,31.5,,,,,,,,0.0
75%,11.162872016429901,0.0,3.99267578125,3.8609619140625,3.4619140625,700.0,,,31.6,,,,,,,,0.0
max,11.552559852600098,2.5,4.0,3.8818359375,3.49267578125,1800.0,,,31.9,,,,,,,,0.0
