,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,8.0,32.0,6.0,11.0,1.0,1.0,1.0,
top,,,,,,,2722492416.0,1051922432.0,,1113161728.0,2167095296.0,158228480.0,2329513984.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,15.0,1.0,26.0,5.0,32.0,32.0,32.0,
mean,10.85225759446621,0.6812499999999999,3.44598388671875,1.8834686279296875,0.8305511474609375,718.75,,,31.4625,,,,,,,,0.0
std,1.4747764530108398,1.263491705680168,0.5284079220380284,0.671959079588272,0.34217701634726644,219.14423001390455,,,0.18621874061124652,,,,,,,,0.0
min,2.7954444885253906,0.0,1.564453125,0.48095703125,0.20458984375,600.0,,,30.5,,,,,,,,0.0
25%,11.054804503917694,0.0,3.388916015625,1.4263916015625,0.5697021484375,600.0,,,31.5,,,,,,,,0.0
50%,11.088580012321472,0.0,3.625732421875,1.984619140625,0.84716796875,600.0,,,31.5,,,,,,,,0.0
75%,11.12555980682373,0.6,3.757568359375,2.4600830078125,1.1201171875,700.0,,,31.5,,,,,,,,0.0
max,11.697039365768433,4.8,3.90869140625,2.77099609375,1.33837890625,1500.0,,,31.7,,,,,,,,0.0
