,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,3.0,31.0,2.0,8.0,1.0,1.0,1.0,
top,,,,,,,2721464320.0,1052950528.0,,1113415680.0,2124132352.0,157433856.0,2327658496.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,19.0,2.0,20.0,8.0,32.0,32.0,32.0,
mean,10.859390057623386,0.45625,3.7873382568359375,3.6347198486328125,2.441925048828125,700.0,,,31.45625,,,,,,,,0.0
std,1.4727670782480955,0.9651800767966365,0.11436317346224269,0.06509788216232812,0.1583775508640321,181.39246347754258,,,0.17768674864817963,,,,,,,,0.0
min,2.7917816638946533,0.0,3.529296875,3.4755859375,2.15576171875,600.0,,,30.8,,,,,,,,0.0
25%,11.087822675704956,0.0,3.7054443359375,3.61181640625,2.320556640625,600.0,,,31.4,,,,,,,,0.0
50%,11.111998319625854,0.0,3.796875,3.6591796875,2.460205078125,600.0,,,31.5,,,,,,,,0.0
75%,11.146436274051666,0.0,3.872802734375,3.67578125,2.5712890625,725.0,,,31.525,,,,,,,,0.0
max,11.216930866241455,2.5,3.96142578125,3.7158203125,2.66162109375,1400.0,,,31.8,,,,,,,,0.0
