,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,1.0,32.0,1.0,11.0,1.0,1.0,1.0,
top,,,,,,,2720645120.0,1053769728.0,,1105272832.0,2117844992.0,156667904.0,2311540736.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,32.0,1.0,32.0,4.0,32.0,32.0,32.0,
mean,10.876397334039211,0.6812499999999999,3.8767852783203125,3.8738861083984375,3.78790283203125,703.125,,,31.51875,,,,,,,,0.0
std,1.48270491699459,1.2696043325738624,0.06833997706117591,0.014951005297645314,0.016069907601338952,175.02879947357604,,,0.18038936382349482,,,,,,,,0.0
min,2.7649152278900146,0.0,3.6962890625,3.8466796875,3.75732421875,600.0,,,31.1,,,,,,,,0.0
25%,11.086963713169098,0.0,3.8360595703125,3.8621826171875,3.7747802734375,600.0,,,31.5,,,,,,,,0.0
50%,11.12975823879242,0.0,3.886474609375,3.873046875,3.7890625,650.0,,,31.5,,,,,,,,0.0
75%,11.153096318244934,0.6,3.9305419921875,3.8857421875,3.80126953125,700.0,,,31.6,,,,,,,,0.0
max,11.533679962158203,4.9,3.96484375,3.900390625,3.81103515625,1400.0,,,32.0,,,,,,,,0.0
