,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,4.0,31.0,3.0,11.0,1.0,1.0,1.0,
top,,,,,,,2728083456.0,1046331392.0,,1114210304.0,2126057472.0,157827072.0,2331643904.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,21.0,2.0,21.0,4.0,32.0,32.0,32.0,
mean,10.863601081073284,0.45937500000000003,3.839874267578125,3.2406768798828125,1.79296875,718.75,,,31.4625,,,,,,,,0.0
std,1.4744449561010373,0.9718155191320039,0.13180763733900006,0.21035238293195757,0.23581497671716484,197.46375739327704,,,0.1718025873852261,,,,,,,,0.0
min,2.79362154006958,0.0,3.45654296875,2.83203125,1.3818359375,600.0,,,30.7,,,,,,,,0.0
25%,11.090589225292206,0.0,3.7786865234375,3.084716796875,1.604736328125,600.0,,,31.4,,,,,,,,0.0
50%,11.107602834701538,0.0,3.86572265625,3.25341796875,1.7978515625,600.0,,,31.5,,,,,,,,0.0
75%,11.136125922203064,0.0,3.9404296875,3.4268798828125,1.988525390625,725.0,,,31.525,,,,,,,,0.0
max,11.479232788085938,2.5,4.0361328125,3.53173828125,2.13623046875,1500.0,,,31.6,,,,,,,,0.0
