,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,5.0,31.0,2.0,9.0,1.0,1.0,1.0,
top,,,,,,,2719920128.0,1054494720.0,,1103273984.0,2116841472.0,156667904.0,2310504448.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,17.0,2.0,28.0,6.0,32.0,32.0,32.0,
mean,10.864226870238781,0.45937500000000003,3.9011688232421875,3.7939605712890625,2.89703369140625,709.375,,,31.40625,,,,,,,,0.0
std,1.4784313776055145,1.1539160183563426,0.13709411336322652,0.05448665522449743,0.11997308498456542,203.76991293945935,,,0.23409055319848823,,,,,,,,0.0
min,2.7700912952423096,0.0,3.5732421875,3.689453125,2.68310546875,600.0,,,30.7,,,,,,,,0.0
25%,11.089938402175903,0.0,3.803466796875,3.750244140625,2.816650390625,600.0,,,31.4,,,,,,,,0.0
50%,11.109263181686401,0.0,3.921875,3.791259765625,2.89990234375,600.0,,,31.5,,,,,,,,0.0
75%,11.147270917892456,0.0,4.0238037109375,3.841064453125,3.002685546875,725.0,,,31.5,,,,,,,,0.0
max,11.35597014427185,4.9,4.1181640625,3.8857421875,3.0751953125,1500.0,,,31.7,,,,,,,,0.0
