,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,1.0,32.0,1.0,9.0,1.0,1.0,1.0,
top,,,,,,,2720100352.0,1054314496.0,,1105272832.0,2117939200.0,156667904.0,2311372800.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,32.0,1.0,32.0,4.0,32.0,32.0,32.0,
mean,10.868711024522781,0.7531249999999999,3.850250244140625,3.8532257080078125,3.735015869140625,740.625,,,31.565625,,,,,,,,0.0
std,1.477191524300178,1.2884059606175526,0.09341497445447947,0.02491511404127257,0.01311160615679106,276.91779961197057,,,0.17709005363592337,,,,,,,,0.0
min,2.77925705909729,0.0,3.60791015625,3.8095703125,3.712890625,600.0,,,31.1,,,,,,,,0.0
25%,11.085424900054932,0.0,3.7779541015625,3.8336181640625,3.7261962890625,600.0,,,31.5,,,,,,,,0.0
50%,11.127057194709778,0.0,3.8671875,3.84814453125,3.7333984375,600.0,,,31.6,,,,,,,,0.0
75%,11.18044513463974,2.4,3.9251708984375,3.873291015625,3.742919921875,700.0,,,31.6,,,,,,,,0.0
max,11.23353886604309,4.8,3.96728515625,3.896484375,3.7626953125,1800.0,,,32.0,,,,,,,,0.0
