,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,1.0,32.0,1.0,9.0,1.0,1.0,1.0,
top,,,,,,,2725974016.0,1048440832.0,,1105268736.0,2116096000.0,156667904.0,2311204864.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,32.0,1.0,32.0,5.0,32.0,32.0,32.0,
mean,10.880619198083878,0.153125,3.877960205078125,3.8588104248046875,3.563232421875,728.125,,,31.487499999999997,,,,,,,,0.0
std,1.481235128262458,0.6026738137719703,0.1733963800944208,0.048110769662583874,0.05122848719523025,247.87402497652818,,,0.15187006330752714,,,,,,,,0.0
min,2.776817798614502,0.0,3.53857421875,3.7744140625,3.4716796875,600.0,,,31.1,,,,,,,,0.0
25%,11.10406231880188,0.0,3.766357421875,3.82373046875,3.52294921875,600.0,,,31.5,,,,,,,,0.0
50%,11.127203345298767,0.0,3.86962890625,3.857177734375,3.569091796875,600.0,,,31.5,,,,,,,,0.0
75%,11.146520018577576,0.0,3.9345703125,3.889404296875,3.607666015625,700.0,,,31.525,,,,,,,,0.0
max,11.576150894165039,2.5,4.27490234375,3.94921875,3.63525390625,1600.0,,,31.8,,,,,,,,0.0
