,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,5.0,31.0,2.0,4.0,1.0,1.0,1.0,
top,,,,,,,2599383040.0,1175052288.0,,1285136384.0,2142203904.0,153481216.0,2400690176.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,20.0,2.0,25.0,19.0,32.0,32.0,32.0,
mean,1.158445991575718,0.690625,3.349578857421875,1.9277496337890625,2.1980743408203125,675.0,,,34.578125,,,,,,,,0.0
std,0.13833155420493362,2.300260767124935,0.08930341824130825,0.06641811829397173,0.01790051847795925,234.17666339201983,,,0.12110878873838114,,,,,,,,0.0
min,0.5396661758422852,0.0,3.17431640625,1.83251953125,2.17333984375,600.0,,,34.3,,,,,,,,0.0
25%,1.1480353474617004,0.0,3.3017578125,1.87255859375,2.18359375,600.0,,,34.6,,,,,,,,0.0
50%,1.1536215543746948,0.0,3.35791015625,1.908203125,2.193359375,600.0,,,34.6,,,,,,,,0.0
75%,1.1660144925117493,0.0,3.40966796875,1.9775390625,2.2109375,600.0,,,34.6,,,,,,,,0.0
max,1.5206656455993652,12.5,3.45703125,2.04443359375,2.23046875,1800.0,,,34.7,,,,,,,,0.0
