,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,3.0,31.0,1.0,3.0,1.0,1.0,1.0,
top,,,,,,,2592251904.0,1182183424.0,,1285148672.0,2143567872.0,153423872.0,2397761536.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,30.0,2.0,32.0,22.0,32.0,32.0,32.0,
mean,1.1482423022389412,1.678125,3.5394134521484375,2.168609619140625,2.268218994140625,781.25,,,34.646875,,,,,,,,0.0
std,0.11783590336646742,4.857434234110604,0.06609423006596558,0.05927475625960366,0.018155133675677483,373.68047416769525,,,0.11354798616131599,,,,,,,,0.0
min,0.5489096641540527,0.0,3.431640625,2.04443359375,2.23046875,600.0,,,34.4,,,,,,,,0.0
25%,1.1513778567314148,0.0,3.4951171875,2.1331787109375,2.25732421875,600.0,,,34.6,,,,,,,,0.0
50%,1.154697060585022,0.0,3.5302734375,2.177734375,2.270751953125,600.0,,,34.7,,,,,,,,0.0
75%,1.1637547016143799,2.4,3.586669921875,2.21337890625,2.28173828125,725.0,,,34.7,,,,,,,,0.0
max,1.385279893875122,26.8,3.6435546875,2.2724609375,2.30029296875,1800.0,,,34.8,,,,,,,,0.0
