,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,4.0,30.0,1.0,4.0,1.0,1.0,1.0,
top,,,,,,,2592808960.0,1173237760.0,,1298984960.0,2153984000.0,154615808.0,2423291904.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,27.0,2.0,32.0,24.0,32.0,32.0,32.0,
mean,1.145618051290512,0.76875,1.3814849853515625,1.044097900390625,1.9920806884765625,740.625,,,34.724999999999994,,,,,,,,0.0
std,0.10955446242178843,1.321640598259505,0.46077457565519314,0.10665726593258569,0.022220209691885304,297.14705276637346,,,0.1319824035192167,,,,,,,,0.0
min,0.561436653137207,0.0,0.4560546875,0.8466796875,1.9501953125,600.0,,,34.5,,,,,,,,0.0
25%,1.1519349813461304,0.0,1.00146484375,0.951171875,1.97265625,600.0,,,34.724999999999994,,,,,,,,0.0
50%,1.159409523010254,0.0,1.462890625,1.0517578125,1.9951171875,600.0,,,34.8,,,,,,,,0.0
75%,1.1648526787757874,2.4,1.7421875,1.134765625,2.0089111328125,700.0,,,34.8,,,,,,,,0.0
max,1.2843360900878906,5.0,1.88916015625,1.177734375,2.01708984375,1800.0,,,34.8,,,,,,,,0.0
