,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,4.0,32.0,1.0,3.0,1.0,1.0,1.0,
top,,,,,,,2601660416.0,1172766720.0,,1285152768.0,2144649216.0,153427968.0,2397769728.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,28.0,1.0,32.0,24.0,32.0,32.0,32.0,
mean,1.1427926197648048,0.45937500000000003,3.4640350341796875,2.3319549560546875,2.3194580078125,815.625,,,34.74375,,,,,,,,0.0
std,0.11229829727041403,1.1539160183563426,0.11351798804498324,0.05829953189079471,0.019152707674178086,357.5087411518773,,,0.15226780313305716,,,,,,,,0.0
min,0.5357441902160645,0.0,3.28076171875,2.2626953125,2.296875,600.0,,,34.4,,,,,,,,0.0
25%,1.1500457525253296,0.0,3.3902587890625,2.275390625,2.30078125,600.0,,,34.6,,,,,,,,0.0
50%,1.1569150686264038,0.0,3.50830078125,2.32080078125,2.3154296875,700.0,,,34.8,,,,,,,,0.0
75%,1.1692295670509338,0.0,3.55810546875,2.376953125,2.333984375,800.0,,,34.9,,,,,,,,0.0
max,1.2281179428100586,4.9,3.59375,2.43115234375,2.3525390625,1800.0,,,34.9,,,,,,,,0.0
