,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,2.0,28.0,1.0,2.0,1.0,1.0,1.0,
top,,,,,,,2589589504.0,1184845824.0,,1283461120.0,2144202752.0,153427968.0,2395099136.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,29.0,2.0,32.0,21.0,32.0,32.0,32.0,
mean,1.1402415484189987,0.60625,3.57861328125,2.6513671875,2.435791015625,659.375,,,34.75,,,,,,,,0.0
std,0.11238363226735729,1.0670845115728695,0.09971463494819385,0.033113594157895415,0.013806780594134135,124.069114453559,,,0.08798826901281036,,,,,,,,0.0
min,0.5314712524414062,0.0,3.4130859375,2.59326171875,2.41162109375,600.0,,,34.5,,,,,,,,0.0
25%,1.1485236883163452,0.0,3.50390625,2.61865234375,2.4248046875,600.0,,,34.7,,,,,,,,0.0
50%,1.1564226150512695,0.0,3.58056640625,2.6416015625,2.43359375,600.0,,,34.8,,,,,,,,0.0
75%,1.1642301082611084,0.6,3.6641845703125,2.66455078125,2.4423828125,700.0,,,34.8,,,,,,,,0.0
max,1.2221426963806152,2.5,3.71044921875,2.708984375,2.4599609375,1100.0,,,34.8,,,,,,,,0.0
