,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,5.0,29.0,3.0,5.0,1.0,1.0,1.0,
top,,,,,,,2600824832.0,1165217792.0,,1285513216.0,2150072320.0,153714688.0,2405122048.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,24.0,2.0,26.0,23.0,32.0,32.0,32.0,
mean,1.1448910683393478,0.303125,3.0144195556640625,1.6512451171875,2.1248321533203125,675.0,,,34.671875,,,,,,,,0.0
std,0.11109477369686284,0.8149745196887662,0.21033452616529874,0.10070652100182403,0.02626361352551498,177.8001778002667,,,0.11976960409267456,,,,,,,,0.0
min,0.5440592765808105,0.0,2.6201171875,1.47802734375,2.080078125,600.0,,,34.4,,,,,,,,0.0
25%,1.1530743837356567,0.0,2.8330078125,1.5615234375,2.1015625,600.0,,,34.6,,,,,,,,0.0
50%,1.1595022678375244,0.0,3.01318359375,1.64208984375,2.1220703125,600.0,,,34.7,,,,,,,,0.0
75%,1.1665843725204468,0.0,3.1817626953125,1.729736328125,2.1451416015625,700.0,,,34.8,,,,,,,,0.0
max,1.2282960414886475,2.5,3.29345703125,1.7958984375,2.1630859375,1500.0,,,34.8,,,,,,,,0.0
