,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,2.0,28.0,1.0,2.0,1.0,1.0,1.0,
top,,,,,,,2602655744.0,1171775488.0,,1283461120.0,2143035392.0,153427968.0,2395107328.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,31.0,2.0,32.0,19.0,32.0,32.0,32.0,
mean,1.1332237794995308,0.6875,3.4911651611328125,2.7493133544921875,2.4792938232421875,693.75,,,34.671875,,,,,,,,0.0
std,0.10984073757391513,1.278797318047376,0.08266524941119631,0.0437620189304182,0.01773921073933816,152.26780313305812,,,0.13966405545843455,,,,,,,,0.0
min,0.5370895862579346,0.0,3.29345703125,2.66357421875,2.4462890625,600.0,,,34.4,,,,,,,,0.0
25%,1.1425695419311523,0.0,3.46484375,2.720703125,2.4666748046875,600.0,,,34.650000000000006,,,,,,,,0.0
50%,1.1467703580856323,0.0,3.5078125,2.76708984375,2.4853515625,600.0,,,34.7,,,,,,,,0.0
75%,1.1559911966323853,0.6,3.55712890625,2.78759765625,2.49365234375,700.0,,,34.8,,,,,,,,0.0
max,1.2021844387054443,4.9,3.5927734375,2.81494140625,2.50732421875,1200.0,,,34.8,,,,,,,,0.0
