,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,4.0,31.0,1.0,3.0,1.0,1.0,1.0,
top,,,,,,,2593792000.0,1180643328.0,,1283461120.0,2144206848.0,153427968.0,2395090944.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,24.0,2.0,32.0,18.0,32.0,32.0,32.0,
mean,1.1446403339505196,1.4718749999999998,3.4950103759765625,2.493133544921875,2.3758087158203125,700.0,,,34.796875,,,,,,,,0.0
std,0.11418908181167729,4.908730495825286,0.10028106310132573,0.05510233510855113,0.019537395617911017,240.96579867074965,,,0.14252192813739128,,,,,,,,0.0
min,0.5352189540863037,0.0,3.328125,2.41650390625,2.34912109375,600.0,,,34.5,,,,,,,,0.0
25%,1.1508386731147766,0.0,3.419677734375,2.44287109375,2.3583984375,600.0,,,34.7,,,,,,,,0.0
50%,1.1557601690292358,0.0,3.52001953125,2.49462890625,2.37646484375,600.0,,,34.849999999999994,,,,,,,,0.0
75%,1.165498971939087,0.6,3.5869140625,2.544921875,2.39404296875,700.0,,,34.9,,,,,,,,0.0
max,1.2487964630126953,27.5,3.626953125,2.59326171875,2.41162109375,1800.0,,,35.0,,,,,,,,0.0
