,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,4.0,30.0,2.0,3.0,1.0,1.0,1.0,
top,,,,,,,2588762112.0,1185673216.0,,1281417216.0,2140413952.0,153427968.0,2395115520.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,16.0,3.0,16.0,16.0,32.0,32.0,32.0,
mean,1.1419023349881172,0.534375,3.4139251708984375,2.8290863037109375,2.5191497802734375,631.25,,,34.75,,,,,,,,0.0
std,0.11063049224958298,1.200163799304616,0.09792139176235079,0.03768040819704745,0.016500603974755636,53.506104565801195,,,0.10160010160015101,,,,,,,,0.0
min,0.5401716232299805,0.0,3.26318359375,2.76806640625,2.49365234375,600.0,,,34.5,,,,,,,,0.0
25%,1.1506048440933228,0.0,3.3431396484375,2.803955078125,2.5059814453125,600.0,,,34.7,,,,,,,,0.0
50%,1.158208966255188,0.0,3.402099609375,2.8291015625,2.5185546875,600.0,,,34.8,,,,,,,,0.0
75%,1.168923020362854,0.0,3.515625,2.85546875,2.53515625,700.0,,,34.8,,,,,,,,0.0
max,1.1953916549682617,4.9,3.5546875,2.88720703125,2.54345703125,800.0,,,34.9,,,,,,,,0.0
