,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,32.0,32.0,32.0,22.0,1.0,1.0,1.0,
top,,,,,,,2446311424.0,1327980544.0,,1067945984.0,1579614208.0,104947712.0,1454080000.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,1.0,1.0,1.0,2.0,32.0,32.0,32.0,
mean,25.854885399341583,0.75625,3.7863616943359375,3.81732177734375,3.83953857421875,662.5,,,38.653125,,,,,,,,0.0
std,3.4634088487854915,1.43458153952586,0.15874134044826047,0.058740542716867294,0.022200823764877173,107.01220913160239,,,0.24227999664477776,,,,,,,,0.0
min,6.896756649017334,0.0,3.3115234375,3.7109375,3.8037109375,600.0,,,38.3,,,,,,,,0.0
25%,26.348799526691437,0.0,3.732421875,3.7679443359375,3.822509765625,600.0,,,38.5,,,,,,,,0.0
50%,26.490081906318665,0.0,3.83056640625,3.807373046875,3.833740234375,600.0,,,38.6,,,,,,,,0.0
75%,26.582424700260162,0.6,3.9027099609375,3.8677978515625,3.859375,700.0,,,38.8,,,,,,,,0.0
max,26.825188636779785,4.9,4.0,3.91796875,3.87744140625,1000.0,,,39.4,,,,,,,,0.0
