,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,32.0,30.0,31.0,25.0,1.0,1.0,1.0,
top,,,,,,,2429718528.0,1344573440.0,,1082617856.0,1588637696.0,102080512.0,1467551744.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,1.0,2.0,2.0,2.0,32.0,32.0,32.0,
mean,25.895132914185524,1.3875000000000002,3.860076904296875,3.8023529052734375,2.9340362548828125,762.5,,,38.83749999999999,,,,,,,,0.0
std,3.465580738681094,3.407558013138328,0.11038869918419411,0.03151339233241506,0.24617116026057445,301.34108849093786,,,0.19633743172603071,,,,,,,,0.0
min,6.924081325531006,0.0,3.6357421875,3.6796875,2.4404296875,600.0,,,38.6,,,,,,,,0.0
25%,26.40254509449005,0.0,3.783447265625,3.78759765625,2.74462890625,600.0,,,38.7,,,,,,,,0.0
50%,26.515389919281006,0.0,3.860107421875,3.8056640625,2.97021484375,600.0,,,38.8,,,,,,,,0.0
75%,26.575035333633423,2.4,3.90771484375,3.824462890625,3.145263671875,725.0,,,38.9,,,,,,,,0.0
max,26.908804893493652,17.5,4.15234375,3.85595703125,3.27294921875,1800.0,,,39.4,,,,,,,,0.0
