,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,32.0,32.0,27.0,19.0,1.0,1.0,1.0,
top,,,,,,,2446442496.0,1327849472.0,,1079816192.0,1579307008.0,103665664.0,1460121600.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,1.0,1.0,3.0,4.0,32.0,32.0,32.0,
mean,25.86326853185892,0.38125000000000003,3.8170318603515625,3.820831298828125,3.8276519775390625,612.5,,,38.6375,,,,,,,,0.0
std,3.4609215996275133,0.9003359588007563,0.10774180518581662,0.03359778309198206,0.010364307305691205,42.1211769587116,,,0.2697071290935248,,,,,,,,0.0
min,6.9118101596832275,0.0,3.54736328125,3.73779296875,3.8017578125,600.0,,,38.2,,,,,,,,0.0
25%,26.398661971092224,0.0,3.7689208984375,3.7969970703125,3.82080078125,600.0,,,38.5,,,,,,,,0.0
50%,26.48620069026947,0.0,3.845947265625,3.828369140625,3.8291015625,600.0,,,38.6,,,,,,,,0.0
75%,26.55805253982544,0.0,3.8946533203125,3.8404541015625,3.83349609375,600.0,,,38.7,,,,,,,,0.0
max,26.687974452972412,2.5,3.9609375,3.8759765625,3.8486328125,800.0,,,39.6,,,,,,,,0.0
