,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,32.0,32.0,30.0,23.0,1.0,1.0,1.0,
top,,,,,,,2423197696.0,1351102464.0,,1084452864.0,1602478080.0,102633472.0,1469775872.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,32.0,32.0,32.0,
mean,25.85897595435381,0.7625,3.7443389892578125,3.75738525390625,3.435272216796875,656.25,,,38.68125,,,,,,,,0.0
std,3.462297420249476,1.1494037725090624,0.22853362551823483,0.06605157108348471,0.10605754595761283,98.1687158630159,,,0.24155076939133965,,,,,,,,0.0
min,6.906308650970459,0.0,2.94384765625,3.60595703125,3.23291015625,600.0,,,38.2,,,,,,,,0.0
25%,26.424419701099396,0.0,3.6707763671875,3.71630859375,3.3414306640625,600.0,,,38.5,,,,,,,,0.0
50%,26.511534571647644,0.0,3.78955078125,3.77978515625,3.470703125,600.0,,,38.7,,,,,,,,0.0
75%,26.54266321659088,2.4,3.8802490234375,3.80615234375,3.52685546875,700.0,,,38.8,,,,,,,,0.0
max,26.730140447616577,2.5,4.06005859375,3.84716796875,3.57275390625,1000.0,,,39.4,,,,,,,,0.0
