,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,32.0,32.0,31.0,31.0,1.0,1.0,1.0,
top,,,,,,,2438246400.0,1336045568.0,,1201242112.0,1626062848.0,101728256.0,1477894144.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,32.0,32.0,32.0,
mean,25.990130729973316,0.903125,3.6672515869140625,2.80194091796875,1.5323333740234375,637.5,,,38.80625,,,,,,,,0.0
std,3.4704651523303274,1.7090809405321685,0.4282239760347202,0.8077439450746678,0.6208941399518327,70.71067811865476,,,0.3141167853501462,,,,,,,,0.0
min,6.991013288497925,0.0,1.97900390625,0.82275390625,0.3408203125,600.0,,,38.4,,,,,,,,0.0
25%,26.49030703306198,0.0,3.622802734375,2.4180908203125,1.079833984375,600.0,,,38.6,,,,,,,,0.0
50%,26.59493398666382,0.0,3.791015625,3.07763671875,1.61669921875,600.0,,,38.75,,,,,,,,0.0
75%,26.69936376810074,2.4,3.9180908203125,3.45166015625,2.059814453125,700.0,,,39.0,,,,,,,,0.0
max,26.91463565826416,7.3,4.00048828125,3.650390625,2.396484375,900.0,,,39.7,,,,,,,,0.0
