,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,31.0,31.0,30.0,18.0,1.0,1.0,1.0,
top,,,,,,,2444627968.0,1329664000.0,,1076686848.0,1582497792.0,104108032.0,1460494336.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,2.0,2.0,2.0,3.0,32.0,32.0,32.0,
mean,25.77493267506361,0.15,3.825775146484375,3.8414154052734375,3.839630126953125,668.75,,,38.646874999999994,,,,,,,,0.0
std,3.434372478824113,0.5902432522055576,0.11112465693639113,0.03126051556647293,0.009828378186681006,114.82806221027917,,,0.2627207213360884,,,,,,,,0.0
min,6.977798700332642,0.0,3.48486328125,3.76123046875,3.81591796875,600.0,,,38.3,,,,,,,,0.0
25%,26.28116738796234,0.0,3.7769775390625,3.8177490234375,3.8314208984375,600.0,,,38.5,,,,,,,,0.0
50%,26.363964676856995,0.0,3.84765625,3.84765625,3.840576171875,600.0,,,38.6,,,,,,,,0.0
75%,26.475711345672607,0.0,3.90869140625,3.8638916015625,3.846435546875,700.0,,,38.625,,,,,,,,0.0
max,26.733367443084717,2.4,3.98486328125,3.892578125,3.85595703125,1100.0,,,39.4,,,,,,,,0.0
