,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,32.0,32.0,31.0,21.0,1.0,1.0,1.0,
top,,,,,,,2445783040.0,1328508928.0,,1085431808.0,1580548096.0,103182336.0,1474826240.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,32.0,32.0,32.0,
mean,25.848202228546143,0.15,3.8316497802734375,3.8235626220703125,3.6792449951171875,665.625,,,38.671875,,,,,,,,0.0
std,3.454311041048446,0.8485281374238569,0.11852654346386121,0.03639887834278327,0.052217507326205066,103.51678997366376,,,0.20357193386629832,,,,,,,,0.0
min,6.942470073699951,0.0,3.49658203125,3.7529296875,3.5732421875,600.0,,,38.4,,,,,,,,0.0
25%,26.3788959980011,0.0,3.7965087890625,3.79931640625,3.6419677734375,600.0,,,38.5,,,,,,,,0.0
50%,26.463173270225525,0.0,3.853759765625,3.824462890625,3.694091796875,600.0,,,38.6,,,,,,,,0.0
75%,26.579991936683655,0.0,3.9102783203125,3.8515625,3.7139892578125,700.0,,,38.725,,,,,,,,0.0
max,26.78528094291687,4.8,3.99169921875,3.88037109375,3.75634765625,1000.0,,,39.1,,,,,,,,0.0
