,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,31.0,32.0,30.0,14.0,1.0,1.0,1.0,
top,,,,,,,2420723712.0,1353568256.0,,1072537600.0,1602600960.0,105021440.0,1460502528.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,2.0,1.0,2.0,5.0,32.0,32.0,32.0,
mean,25.7995350882411,0.75,3.8486480712890625,3.8420257568359375,3.83502197265625,643.75,,,38.728125000000006,,,,,,,,0.0
std,3.4340042993505273,1.7665347891537042,0.1164705711579675,0.03851904765200259,0.014464970650759738,84.00268812903087,,,0.34005158527076695,,,,,,,,0.0
min,7.001634120941162,0.0,3.587890625,3.7900390625,3.81640625,600.0,,,38.2,,,,,,,,0.0
25%,26.28555119037628,0.0,3.77294921875,3.8082275390625,3.8232421875,600.0,,,38.5,,,,,,,,0.0
50%,26.421947240829468,0.0,3.8525390625,3.828857421875,3.828857421875,600.0,,,38.6,,,,,,,,0.0
75%,26.490778625011444,0.0,3.922119140625,3.8785400390625,3.8489990234375,700.0,,,38.8,,,,,,,,0.0
max,26.668091297149658,7.1,4.07421875,3.91650390625,3.86181640625,900.0,,,39.7,,,,,,,,0.0
