,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,31.0,31.0,30.0,23.0,1.0,1.0,1.0,
top,,,,,,,2444759040.0,1329532928.0,,1079603200.0,1584144384.0,103591936.0,1475141632.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,2.0,2.0,2.0,2.0,32.0,32.0,32.0,
mean,25.94022937864065,0.23125,3.904815673828125,3.9055938720703125,3.824127197265625,653.125,,,38.621875,,,,,,,,0.0
std,3.467775220378522,0.7310785227672968,0.1848706264781012,0.06422224671661662,0.03730645171550205,101.5504800579495,,,0.2574494939507241,,,,,,,,0.0
min,6.95657205581665,0.0,3.47021484375,3.77734375,3.73046875,600.0,,,38.2,,,,,,,,0.0
25%,26.465261697769165,0.0,3.829345703125,3.8612060546875,3.8175048828125,600.0,,,38.5,,,,,,,,0.0
50%,26.555379986763,0.0,3.923095703125,3.886474609375,3.8408203125,600.0,,,38.5,,,,,,,,0.0
75%,26.64640861749649,0.0,3.9764404296875,3.9730224609375,3.8466796875,700.0,,,38.7,,,,,,,,0.0
max,26.94221067428589,2.6,4.318359375,4.0,3.8642578125,1000.0,,,39.6,,,,,,,,0.0
