,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,1.0,32.0,1.0,4.0,1.0,1.0,1.0,
top,,,,,,,2881363968.0,893071360.0,,1257684992.0,1844158464.0,156934144.0,2361966592.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,32.0,1.0,32.0,14.0,32.0,32.0,32.0,
mean,3.0747113674879074,0.840625,2.183685302734375,1.839447021484375,2.814422607421875,715.625,,,27.840625000000003,,,,,,,,0.0
std,0.4196832854556317,1.7061292495379803,0.8382986606787277,0.20937022900276667,0.03568645983126678,231.55766368855777,,,0.5863277598199524,,,,,,,,0.0
min,0.8006391525268555,0.0,0.58544921875,1.5068359375,2.76318359375,600.0,,,27.0,,,,,,,,0.0
25%,3.12938529253006,0.0,1.5751953125,1.6668701171875,2.784423828125,600.0,,,27.5,,,,,,,,0.0
50%,3.1395004987716675,0.0,2.38037109375,1.8486328125,2.81494140625,600.0,,,27.6,,,,,,,,0.0
75%,3.1544137597084045,0.6,2.888916015625,2.0146484375,2.8433837890625,725.0,,,28.2,,,,,,,,0.0
max,3.459345579147339,7.3,3.25439453125,2.16748046875,2.87353515625,1800.0,,,30.0,,,,,,,,0.0
