,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,3.0,32.0,1.0,4.0,1.0,1.0,1.0,
top,,,,,,,2879332352.0,895102976.0,,1266356224.0,1847721984.0,156934144.0,2370826240.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,30.0,1.0,32.0,15.0,32.0,32.0,32.0,
mean,3.0768477395176888,0.6843750000000001,3.6335601806640625,3.4372406005859375,3.258575439453125,665.625,,,27.509375,,,,,,,,0.0
std,0.418072085882557,1.2743396455647389,0.11724405769707691,0.040485854544719854,0.019454682919480822,135.8589757444188,,,0.46445207051584064,,,,,,,,0.0
min,0.7900948524475098,0.0,3.40380859375,3.3564453125,3.2216796875,600.0,,,26.9,,,,,,,,0.0
25%,3.1414263248443604,0.0,3.5438232421875,3.4056396484375,3.2420654296875,600.0,,,27.2,,,,,,,,0.0
50%,3.15511155128479,0.0,3.634765625,3.446044921875,3.26513671875,600.0,,,27.35,,,,,,,,0.0
75%,3.1653212308883667,0.6,3.7392578125,3.4686279296875,3.2744140625,700.0,,,27.725,,,,,,,,0.0
max,3.193176031112671,4.9,3.7978515625,3.49365234375,3.28369140625,1300.0,,,29.2,,,,,,,,0.0
