,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,4.0,31.0,1.0,4.0,1.0,1.0,1.0,
top,,,,,,,2869821440.0,904613888.0,,1266364416.0,1866690560.0,156938240.0,2370998272.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,21.0,2.0,32.0,13.0,32.0,32.0,32.0,
mean,3.127876028418541,2.621875,3.8630828857421875,3.684173583984375,3.42034912109375,821.875,,,27.521875,,,,,,,,0.0
std,0.4396789662137135,6.417201398610034,0.08458178298258187,0.02836791589668864,0.018389708334058848,352.6255210056642,,,0.4426710531425369,,,,,,,,0.0
min,0.7946486473083496,0.0,3.697265625,3.63525390625,3.388671875,600.0,,,27.0,,,,,,,,0.0
25%,3.1383197903633118,0.0,3.8013916015625,3.6640625,3.4049072265625,600.0,,,27.275,,,,,,,,0.0
50%,3.157413959503174,0.0,3.87255859375,3.685546875,3.4228515625,600.0,,,27.4,,,,,,,,0.0
75%,3.1878584027290344,2.4,3.918701171875,3.7000732421875,3.4365234375,900.0,,,27.625,,,,,,,,0.0
max,3.5706233978271484,26.8,4.021484375,3.740234375,3.44873046875,1800.0,,,29.1,,,,,,,,0.0
