,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,3.0,31.0,1.0,4.0,1.0,1.0,1.0,
top,,,,,,,2892189696.0,882245632.0,,1257697280.0,1850937344.0,156934144.0,2361982976.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,30.0,2.0,32.0,13.0,32.0,32.0,32.0,
mean,3.101669304072857,1.4687499999999998,3.551361083984375,2.44427490234375,2.9316864013671875,731.25,,,27.30625,,,,,,,,0.0
std,0.4220709703853955,4.909729478126784,0.17035237489305377,0.13150672416007048,0.027546177287340785,303.14214700421087,,,0.25895260495485095,,,,,,,,0.0
min,0.7999351024627686,0.0,3.20703125,2.1982421875,2.8798828125,600.0,,,27.0,,,,,,,,0.0
25%,3.1532037258148193,0.0,3.451904296875,2.337646484375,2.9100341796875,600.0,,,27.175,,,,,,,,0.0
50%,3.171096920967102,0.0,3.5859375,2.47900390625,2.94091796875,600.0,,,27.25,,,,,,,,0.0
75%,3.1861667037010193,0.6,3.6982421875,2.5565185546875,2.9534912109375,700.0,,,27.4,,,,,,,,0.0
max,3.3219411373138428,27.5,3.76416015625,2.60986328125,2.970703125,1800.0,,,28.2,,,,,,,,0.0
