,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,3.0,32.0,1.0,6.0,1.0,1.0,1.0,
top,,,,,,,2889646080.0,884789248.0,,1257717760.0,1843929088.0,156934144.0,2362175488.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,27.0,1.0,32.0,14.0,32.0,32.0,32.0,
mean,3.095719151198864,1.2312499999999997,3.8966064453125,3.3377838134765625,3.1862640380859375,846.875,,,27.259375,,,,,,,,0.0
std,0.4217725310674135,4.439735352473162,0.03145262950835019,0.06403264949220899,0.02667803727575151,338.86373224683996,,,0.2637928989726353,,,,,,,,0.0
min,0.7970080375671387,0.0,3.83837890625,3.23046875,3.142578125,600.0,,,26.8,,,,,,,,0.0
25%,3.1463873386383057,0.0,3.875,3.2904052734375,3.165771484375,600.0,,,27.1,,,,,,,,0.0
50%,3.155739903450012,0.0,3.89501953125,3.3349609375,3.185546875,700.0,,,27.2,,,,,,,,0.0
75%,3.1786422729492188,0.0,3.920166015625,3.3922119140625,3.2086181640625,875.0,,,27.325,,,,,,,,0.0
max,3.286064863204956,25.0,3.94775390625,3.43994140625,3.2294921875,1800.0,,,28.0,,,,,,,,0.0
