,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,2.0,32.0,1.0,4.0,1.0,1.0,1.0,
top,,,,,,,2885021696.0,889413632.0,,1257697280.0,1850109952.0,156934144.0,2361995264.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,31.0,1.0,32.0,12.0,32.0,32.0,32.0,
mean,3.0757360756397247,0.38125000000000003,3.585968017578125,2.77386474609375,3.0005340576171875,737.5,,,27.287499999999998,,,,,,,,0.0
std,0.41649858615711177,0.9003359588007563,0.21333566544163998,0.1295894740102855,0.03517601182419335,259.9627764917322,,,0.2685084248092567,,,,,,,,0.0
min,0.7987358570098877,0.0,3.1904296875,2.5625,2.9453125,600.0,,,26.9,,,,,,,,0.0
25%,3.128873825073242,0.0,3.427978515625,2.673583984375,2.97314453125,600.0,,,27.1,,,,,,,,0.0
50%,3.1442426443099976,0.0,3.5927734375,2.7705078125,2.99853515625,600.0,,,27.3,,,,,,,,0.0
75%,3.157463550567627,0.0,3.78271484375,2.88720703125,3.03076171875,700.0,,,27.4,,,,,,,,0.0
max,3.2534706592559814,2.5,3.8740234375,2.97705078125,3.0576171875,1800.0,,,28.2,,,,,,,,0.0
