,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,2.0,31.0,1.0,3.0,1.0,1.0,1.0,
top,,,,,,,2894503936.0,879931392.0,,1266360320.0,1850974208.0,156938240.0,2370838528.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,31.0,2.0,32.0,12.0,32.0,32.0,32.0,
mean,3.0947775840759277,0.3,3.7053070068359375,3.5188751220703125,3.3079833984375,656.25,,,27.459375,,,,,,,,0.0
std,0.41955704650409503,0.8064258060386964,0.09171062153393539,0.03615549734017509,0.0188902989552278,110.53389496206071,,,0.5167262799462563,,,,,,,,0.0
min,0.7997004985809326,0.0,3.50830078125,3.46533203125,3.28173828125,600.0,,,27.0,,,,,,,,0.0
25%,3.1546627283096313,0.0,3.6412353515625,3.48974609375,3.291748046875,600.0,,,27.1,,,,,,,,0.0
50%,3.1648014783859253,0.0,3.715087890625,3.50927734375,3.30419921875,600.0,,,27.25,,,,,,,,0.0
75%,3.1791509985923767,0.0,3.7802734375,3.5517578125,3.32470703125,700.0,,,27.525,,,,,,,,0.0
max,3.2329468727111816,2.4,3.8486328125,3.580078125,3.33935546875,1000.0,,,29.5,,,,,,,,0.0
