,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,3.0,32.0,1.0,5.0,1.0,1.0,1.0,
top,,,,,,,2840834048.0,933601280.0,,1266364416.0,1899212800.0,156938240.0,2370985984.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,23.0,1.0,32.0,12.0,32.0,32.0,32.0,
mean,3.0776918828487396,0.528125,3.773040771484375,3.6064605712890625,3.3652191162109375,665.625,,,27.484375,,,,,,,,0.0
std,0.41627301628118607,1.1832798526457802,0.07914874676043444,0.014994281568366784,0.011688182300250358,103.51678997366376,,,0.38278215399800825,,,,,,,,0.0
min,0.8019051551818848,0.0,3.64990234375,3.57763671875,3.34130859375,600.0,,,26.9,,,,,,,,0.0
25%,3.1311851143836975,0.0,3.7059326171875,3.59521484375,3.3580322265625,600.0,,,27.2,,,,,,,,0.0
50%,3.1511547565460205,0.0,3.760009765625,3.605712890625,3.36767578125,600.0,,,27.4,,,,,,,,0.0
75%,3.161848247051239,0.0,3.846923828125,3.61669921875,3.37158203125,700.0,,,27.725,,,,,,,,0.0
max,3.235752582550049,4.8,3.89794921875,3.63232421875,3.38525390625,1100.0,,,28.5,,,,,,,,0.0
