,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,2.0,32.0,1.0,4.0,1.0,1.0,1.0,
top,,,,,,,2882883584.0,891551744.0,,1257697280.0,1847246848.0,156934144.0,2362146816.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,31.0,1.0,32.0,12.0,32.0,32.0,32.0,
mean,3.0871779769659042,0.3875,3.7882537841796875,3.09912109375,3.09759521484375,725.0,,,27.3375,,,,,,,,0.0
std,0.4201631855379729,1.1065056885121185,0.09173188825200214,0.06492251413523174,0.021698364265798634,261.50926709046763,,,0.24196773978523292,,,,,,,,0.0
min,0.7907285690307617,0.0,3.59130859375,2.994140625,3.06298828125,600.0,,,27.0,,,,,,,,0.0
25%,3.139817476272583,0.0,3.73193359375,3.0577392578125,3.083740234375,600.0,,,27.2,,,,,,,,0.0
50%,3.1577272415161133,0.0,3.79638671875,3.088623046875,3.09423828125,600.0,,,27.3,,,,,,,,0.0
75%,3.1761154532432556,0.0,3.8502197265625,3.150634765625,3.114501953125,700.0,,,27.5,,,,,,,,0.0
max,3.21478271484375,4.9,3.91796875,3.21728515625,3.1376953125,1500.0,,,28.0,,,,,,,,0.0
